title,year,imdb_id,type,poster
University of Laughs,2004,tt0436886,movie,https://m.media-amazon.com/images/M/MV5BZGIzMWRhMGUtNjdhYS00N2FlLTljYTUtNzg5ODNlMmY0ODdiXkEyXkFqcGdeQXVyNTEwMzkyODI@._V1_SX300.jpg
University Challenge,1962–,tt0177465,series,https://m.media-amazon.com/images/M/MV5BZDBhZTk0YjItNTlhZS00MzVlLWE5N2QtM2U5OTU5MWY0NTIzXkEyXkFqcGdeQXVyMTEzNjA2NzM@._V1_SX300.jpg
Demolition University,1997,tt0179761,movie,https://m.media-amazon.com/images/M/MV5BMTY0ODcwOTI4Nl5BMl5BanBnXkFtZTgwNDc0NTAwNzE@._V1_SX300.jpg
Nursery University,2008,tt1213832,movie,https://m.media-amazon.com/images/M/MV5BODIyOTQzNTUxOF5BMl5BanBnXkFtZTcwMTUyMzM0Mg@@._V1_SX300.jpg
Derek Zoolander University,1997,tt0291852,movie,N/A
Murder University,2012,tt2234299,movie,https://m.media-amazon.com/images/M/MV5BMzYwMDg5MTQwNl5BMl5BanBnXkFtZTgwNTIxODE1MDE@._V1_SX300.jpg
CBC News: Moncton Shooting,2014–,tt4362372,series,N/A
Last Tango in Halifax,2012–2020,tt2216156,series,https://m.media-amazon.com/images/M/MV5BNjUxNmQ1MmMtZGFjNS00YzFlLWFkNDAtZWFlYmFhNWY1MGY5XkEyXkFqcGdeQXVyMjExMjk0ODk@._V1_SX300.jpg
Shattered City: The Halifax Explosion,2003–,tt0368542,series,https://m.media-amazon.com/images/M/MV5BMTI4NDgzNzA2M15BMl5BanBnXkFtZTcwOTExMDEzMQ@@._V1_SX300.jpg
Tram Ride Into Halifax,1902,tt0471407,movie,N/A
Halifax f.p.,1994–2001,tt2329424,series,https://m.media-amazon.com/images/M/MV5BMjMwODM3OTMxNF5BMl5BanBnXkFtZTgwMDMyMDE2MDE@._V1_SX300.jpg
Halifax Catholic Procession,1905,tt0471190,movie,N/A
Bradford Halifax London,2013,tt3091196,movie,https://m.media-amazon.com/images/M/MV5BNTM1MjExMDA0Nl5BMl5BanBnXkFtZTgwNTAwOTEwMDE@._V1_SX300.jpg
John Halifax,1938,tt0030176,movie,N/A
City of Ruins: The Halifax Explosion,2003,tt0387938,movie,N/A
"John Halifax, Gentleman",1974,tt0426727,movie,N/A
"Just One Big Mess: The Halifax Explosion, 1917",1991,tt0223590,movie,N/A
I Hate Toronto: A Love Story,2012,tt1816549,movie,https://m.media-amazon.com/images/M/MV5BMTcyMDAyOTgzNF5BMl5BanBnXkFtZTcwOTM2MzYyNw@@._V1_SX300.jpg
Toronto Stories,2008,tt1113827,movie,https://m.media-amazon.com/images/M/MV5BMTA0MTI1ODM2NDdeQTJeQWpwZ15BbWU3MDMyOTMwMjI@._V1_SX300.jpg
Avril Lavigne: The Best Damn Tour - Live in Toronto,2008,tt1289777,movie,https://m.media-amazon.com/images/M/MV5BMjIxNzg3OTg1OF5BMl5BanBnXkFtZTcwMDk4NzQ5MQ@@._V1_SX300.jpg
NXT TakeOver: Toronto,2016,tt6260358,movie,https://m.media-amazon.com/images/M/MV5BZjc0ZjQ2N2MtNjU3ZC00ZTA2LWEzZjUtNmI4NGM2YzExMDUwL2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyMzQwNDk2ODM@._V1_SX300.jpg
Plague City: SARS in Toronto,2005,tt0439763,movie,https://m.media-amazon.com/images/M/MV5BMTQ1NTE1OTMxNV5BMl5BanBnXkFtZTgwNzI0MDA2MDE@._V1_SX300.jpg
John Lennon and the Plastic Ono Band: Sweet Toronto,1971,tt0498719,movie,https://ia.media-imdb.com/images/M/MV5BNzNkMmViYzYtNjgxMC00MTViLTg2ZjctMTEwNmU2N2Y4ZWQwXkEyXkFqcGdeQXVyNTk1NTMyNzM@._V1_SX300.jpg
Let's All Hate Toronto,2007,tt1135977,movie,https://m.media-amazon.com/images/M/MV5BMjE1NzQyNjU1Ml5BMl5BanBnXkFtZTgwMzIyMjA2MDE@._V1_SX300.jpg
The Man from Toronto,1933,tt0024298,movie,https://m.media-amazon.com/images/M/MV5BNWU5NWQyODQtNzNmNi00ZWZmLTk2NGQtMTRjZmM3OWYyNGE1L2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyNTE1NDUzNg@@._V1_SX300.jpg
The Toronto Show,2003–2004,tt0393003,series,N/A
Film-Fest DVD: Issue 3 - Toronto,2000,tt0500201,movie,N/A
Love It or List It Vancouver,2013–,tt2665420,series,https://m.media-amazon.com/images/M/MV5BZTlkZjA1ZWUtM2IxZS00MzYwLWI0OWItYmViYjNmN2IzZjE3XkEyXkFqcGdeQXVyNjE3NTAyNjc@._V1_SX300.jpg
The Real Housewives of Vancouver,2012–2013,tt2330453,series,https://m.media-amazon.com/images/M/MV5BMzJhM2UyZWUtZGQwYS00Y2VmLWE0NjEtMDQwOWUwOGNjNTY2XkEyXkFqcGdeQXVyNTE1NjY5Mg@@._V1_SX300.jpg
Vancouver 2010: XXI Olympic Winter Games,2010–,tt1517514,series,https://m.media-amazon.com/images/M/MV5BMTQyODA5NjY5OF5BMl5BanBnXkFtZTcwODgyMDkxMw@@._V1_SX300.jpg
The Vancouver Asahi,2014,tt3550344,movie,https://m.media-amazon.com/images/M/MV5BYzI1ZDY4MjgtYmQwZi00NTkyLWE5YjYtZGQ4ZjllNTI4NTUxXkEyXkFqcGdeQXVyMzA1NTc1NDk@._V1_SX300.jpg
Aurélia Steiner (Vancouver),1980,tt0205756,movie,N/A
Victoria and Vancouver: Gateways to Canada,1936,tt1210118,movie,N/A
Vancouver,2005,tt0475423,movie,N/A
Truth in Motion: The US Ski Team's Road to Vancouver,2010,tt1645937,movie,N/A
The Vancouver B Movie Factory,2013–,tt3172614,series,N/A
Vancouver 2010,2010,tt1845313,game,N/A
Petropolis: Aerial Perspectives on the Alberta Tar Sands,2009,tt1504458,movie,https://m.media-amazon.com/images/M/MV5BMTYxNDk3MTM2OF5BMl5BanBnXkFtZTgwNjU5MzA2MDE@._V1_SX300.jpg
Alberta Legacy,2012,tt2229029,movie,N/A
Alberta,2016,tt5088378,movie,https://m.media-amazon.com/images/M/MV5BMTFjNGFlNGQtYjM1MC00YzQ4LTk4NDEtMzc3NDkxZDkwNjUxXkEyXkFqcGdeQXVyMjkxNjAzNTU@._V1_SX300.jpg
Alberta,2016,tt5088378,movie,https://m.media-amazon.com/images/M/MV5BMTFjNGFlNGQtYjM1MC00YzQ4LTk4NDEtMzc3NDkxZDkwNjUxXkEyXkFqcGdeQXVyMjkxNjAzNTU@._V1_SX300.jpg
Alberta Legacy 2,2013,tt2822366,movie,N/A
Sekmadienis. Evangelija pagal liftininka Alberta,2003,tt0415262,movie,N/A
Alberta Hunter: My Castle's Rockin',1988,tt0364775,movie,N/A
Alberta Bound,1984,tt0225047,movie,N/A
Two Dreams of a Nation: The Fortin Family of Quebec and Alberta,1980,tt0227701,movie,N/A
Alberta,1997,tt0213439,movie,N/A
Niagara,1953,tt0046126,movie,https://m.media-amazon.com/images/M/MV5BMDBhNWE4Y2UtMTA5Mi00YzYyLTliMWMtMjc3OGU0ZWFiMGVhL2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyNjc1NTYyMjg@._V1_SX300.jpg
"Niagara, Niagara",1997,tt0119780,movie,https://m.media-amazon.com/images/M/MV5BMTY2MWRlMzYtYzIzMy00NjBkLWEwYmQtYjFlN2NmNGIxNzE2XkEyXkFqcGdeQXVyMTQ3Njg3MQ@@._V1_SX300.jpg
"Niagara, Niagara",1997,tt0180007,movie,https://m.media-amazon.com/images/M/MV5BMTUyMzk3NjQ0OV5BMl5BanBnXkFtZTcwNTk2NTAyMQ@@._V1_SX300.jpg
Niagara Motel,2005,tt0425295,movie,https://m.media-amazon.com/images/M/MV5BMjA2NTU4NDI0OV5BMl5BanBnXkFtZTcwNjA1NzY5MQ@@._V1_SX300.jpg
Niagara Falls,1897,tt0000162,movie,https://m.media-amazon.com/images/M/MV5BNjg2YmE4MzUtYWQ1Ny00ZWM3LWFjZTMtMTVhODMxN2YzZjFhXkEyXkFqcGdeQXVyNTM3MDMyMDQ@._V1_SX300.jpg
Chasing Niagara,2015,tt5192278,movie,https://m.media-amazon.com/images/M/MV5BY2E0NmQ0YzMtMzM0ZS00YjhjLTk5YjAtOGVkNzM5MzViNzNiXkEyXkFqcGdeQXVyODA5NTY3MA@@._V1_SX300.jpg
"Niagara: Miracles, Myths and Magic",1986,tt0091626,movie,https://m.media-amazon.com/images/M/MV5BMTQwNzg3NjUzNV5BMl5BanBnXkFtZTcwMzg2MjczMQ@@._V1_SX300.jpg
Niagara Falls,1941,tt0033949,movie,https://m.media-amazon.com/images/M/MV5BMjI1NDExNTU0NV5BMl5BanBnXkFtZTgwNjUwMzYwNzE@._V1_SX300.jpg
"Captain Nissen Going Through Whirlpool Rapids, Niagara Falls",1901,tt0360454,movie,N/A
Niagara Fools,1956,tt0151746,movie,https://m.media-amazon.com/images/M/MV5BNDIzOWNiMDYtNGNhMS00MGM4LWFkNzMtZWI0Zjg3YTZjMzEzXkEyXkFqcGdeQXVyNjk2MDY4NTI@._V1_SX300.jpg
